file,Cyclist_count_over_70m
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200156.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200157.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200158.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00201266.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00201267.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00202348.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00203097.txt,2
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000294.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000521.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000522.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000523.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000531.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000532.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00000533.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001168.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001443.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001444.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001445.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001446.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001447.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001448.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001449.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001450.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001451.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001452.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001453.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001454.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001455.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001456.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001457.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001458.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00001459.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00004194.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00004195.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00100252.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00100253.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00100254.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00100255.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00100374.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200039.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200052.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200053.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200054.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200055.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200056.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200102.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200108.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200109.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200110.txt,1
/workspace/OpenPCDet/OpenPCDet/data/custom_av/labels/00200244.txt,1
